id,tipo,categoria,pregunta,respuesta_referencia,fuente,nota
T01,Soporte Tecnico,Sensores,¿Qué sensor usa COODI para medir distancia y evadir obstáculos?,"El sensor HC-SR04 mide distancia mediante ultrasonido; está implementado y se usa para navegación, obstáculos y condicionales.",COODI-KB-BASE §9,
T02,Soporte Tecnico,Sensores,¿Cómo funciona el sensor HC-SR04 en COODI?,El HC-SR04 mide distancia mediante ultrasonido: emite un pulso y calcula la distancia según el tiempo que tarda en volver. El programa puede comparar ese valor con un umbral para detener o modificar el recorrido.,COODI-KB-BASE §9.1,
T03,Soporte Tecnico,Sensores,"Quiero programar a COODI para que se detenga cuando un objeto esté cerca, ¿qué sensor y lógica debo usar?","Usar el sensor HC-SR04 y una condición: si la distancia medida es menor a un umbral definido, detener o modificar el movimiento de los motores.","COODI-KB-BASE §9, §26",
T04,Soporte Tecnico,Sensores,¿Qué tipo de dato entrega el sensor HC-SR04?,"Entrega una medición de distancia (numérica), obtenida mediante ultrasonido.",COODI-KB-BASE §9,
T05,Soporte Tecnico,Casos de uso,"En el caso de uso ""Detección de obstáculos"", ¿qué componentes se usan?","Se usan el sensor HC-SR04, los motores y condicionales de programación para detener o modificar el recorrido del robot.",COODI-KB-BASE §26,
T06,Soporte Tecnico,Actuadores/Motores,¿Cuántos motores tiene COODI y para qué sirven?,COODI tiene 2 motores DC amarillos que permiten el desplazamiento del robot (implementado).,COODI-KB-BASE §9,
T07,Soporte Tecnico,Actuadores/Motores,"¿Qué componente permite que COODI mueva partes específicas de forma angular, aparte de los motores de desplazamiento?","El servomotor SG90, que permite movimiento angular controlado para mecanismos u orientación (implementado/prototipo según configuración).",COODI-KB-BASE §9,
T08,Soporte Tecnico,Actuadores/Motores,¿Qué diferencia hay entre los motores DC y el servomotor SG90 de COODI?,"Los motores DC amarillos desplazan al robot (movimiento continuo), mientras que el servomotor SG90 realiza movimiento angular controlado, útil para mecanismos u orientación de piezas.",COODI-KB-BASE §9,
T09,Soporte Tecnico,Actuadores/Salida,¿Qué actuador usa COODI para emitir sonido?,"El buzzer, que entrega salida sonora para eventos, confirmaciones o retroalimentación (implementado).",COODI-KB-BASE §9,
T10,Soporte Tecnico,Actuadores/Salida,¿Cómo puede COODI dar retroalimentación visual a los estudiantes?,"Mediante el LED RGB o matriz RGB, que entrega salida visual con color o patrones para estados y codificación visual.",COODI-KB-BASE §9,
T11,Soporte Tecnico,Actuadores/Salida,"Quiero que COODI avise con luz cuando complete una misión, ¿qué componente debo usar?","El LED RGB / matriz RGB, usando un color o patrón específico para señalizar el estado de ""misión completada"".",COODI-KB-BASE §9,
T12,Soporte Tecnico,Sensores ambientales,¿Qué sensor debo usar si quiero que los estudiantes midan temperatura y humedad con COODI?,"El sensor DHT22, que mide temperatura y humedad (implementado/prototipo según actividad); se usa en misiones ambientales STEM.",COODI-KB-BASE §9,
T13,Soporte Tecnico,Casos de uso,"En el caso de uso ""Misión ambiental"", ¿qué sensor se utiliza y con qué recurso didáctico se relaciona?",Se usa el sensor DHT22 (temperatura/humedad) y se relaciona con el cuadernillo o narrativa asociada a la misión ambiental.,COODI-KB-BASE §26,
T14,Soporte Tecnico,Sensores,¿Cómo puede COODI recibir comandos o validar una actividad sin usar programación por bloques?,"Mediante el sensor infrarrojo (control IR), que permite recepción de comandos o validación de desafíos (implementado en actividades).",COODI-KB-BASE §9,
T15,Soporte Tecnico,Sensores,¿Qué usa COODI para el control remoto o la validación de desafíos?,El sensor infrarrojo / control IR.,COODI-KB-BASE §9,
T16,Soporte Tecnico,Componentes planificados,¿COODI puede identificar tarjetas automáticamente usando RFID?,"Actualmente no: el RFID está en estado ""planificado"" para identificación automática de tarjetas u objetos, no implementado todavía. Hoy la identificación de tarjetas es manual/visual.","COODI-KB-BASE §9, §27","Pregunta trampa: debe reconocer que NO está disponible, no inventar que sí funciona"
T17,Soporte Tecnico,Componentes planificados,¿Qué sensor usa COODI para medir su orientación y movimiento con una IMU?,"La IMU está en estado ""planificado"" (no implementada) para estimación de movimiento y orientación; no debe presentarse como una capacidad disponible hoy.","COODI-KB-BASE §9, §27",Pregunta trampa: debe reconocer que NO está implementada
T18,Soporte Tecnico,Componentes planificados,¿Puedo usar COODI hoy para hacer actividades de identificación automática de tarjetas con RFID?,"No, el RFID todavía está en fase de planificación, no implementada. Se puede usar el tablero con tarjetas físicas de forma manual mientras tanto.","COODI-KB-BASE §9, §12, §27",Pregunta trampa
T19,Soporte Tecnico,Componentes planificados,¿Qué componentes de COODI todavía están en fase de planificación y no deben presentarse como disponibles?,"RFID (identificación automática de tarjetas/objetos) e IMU (orientación y movimiento) están planificados, no implementados.","COODI-KB-BASE §9, §32",Pregunta trampa / control general de alucinaciones
T20,Soporte Tecnico,Arquitectura,¿Qué microcontrolador usa la versión inicial de COODI?,"Arduino UNO, como unidad de control inicial (implementado).",COODI-KB-BASE §8,
T21,Soporte Tecnico,Arquitectura,¿Qué plataformas se consideran para ampliar la capacidad de procesamiento de COODI?,"ESP32-WROOM-32 y/o Raspberry Pi Zero 2W, como evolución de control (prototipo/planificado según módulo).","COODI-KB-BASE §8, §10.2",
T22,Soporte Tecnico,Arquitectura/Conectividad,¿COODI necesita estar conectado a internet para funcionar?,"No: las actividades fundamentales (robot, tablero, programación) están diseñadas para funcionar de forma local/offline. Algunos servicios complementarios (como asistentes conversacionales o sincronización) sí pueden requerir conectividad, pero no es una dependencia obligatoria.","COODI-KB-BASE §10.4, §30",
T23,Soporte Tecnico,Programación,¿Qué modalidades de programación ofrece COODI?,"Tres: tangible (tarjetas/tablero, sin sintaxis), visual (bloques en app basada en Blockly) y textual (Arduino/C++), representando el mismo algoritmo con distinto nivel de abstracción.",COODI-KB-BASE §11,
T24,Soporte Tecnico,Programación,¿Qué es el tablero de navegación de COODI y de qué tamaño es?,"Es un tablero de 6×6 posiciones con tarjetas de Inicio y Fin, usado para actividades de navegación y resolución de misiones.",COODI-KB-BASE §12.1,
T25,Soporte Tecnico,Programación,"Quiero programar a COODI para que avance y luego gire, usando bloques, ¿qué herramienta debo usar?","El entorno de programación visual con bloques, basado en Blockly, donde se seleccionan bloques de movimiento (por ejemplo ""Avanzar"") y condiciones para construir la secuencia.",COODI-KB-BASE §13,
T26,Soporte Tecnico,Programación,"¿Cómo se llama el generador de código en la programación visual, y qué información debe conservar?","El generador de código de la programación visual (bloques → código/comandos); debe conservar correspondencia explícita entre cada bloque, sus parámetros, el hardware requerido y la versión de firmware compatible.",COODI-KB-BASE §13.2,
T27,Soporte Tecnico,Metodología pedagógica,¿Cuáles son las etapas del modelo pedagógico NDCC?,Narrativa → Desafío → Construcción → Programación colaborativa → Prueba → Reflexión.,COODI-KB-BASE §4,
T28,Soporte Tecnico,Metodología pedagógica,¿Qué habilidades de pensamiento computacional se trabajan con COODI?,"Descomposición, reconocimiento de patrones, abstracción, algoritmos, evaluación y depuración.",COODI-KB-BASE §6,
T29,Soporte Tecnico,Metodología pedagógica,¿Qué rol cumple el error dentro de una actividad con COODI?,"El error se entiende como una oportunidad de depuración: el estudiante debe identificar qué parte de la secuencia, condición o planificación produjo el resultado inesperado y proponer una modificación, no como un fracaso de la actividad.",COODI-KB-BASE §4.1,
T30,Soporte Tecnico,Seguridad/Operación,"Antes de una actividad crítica con COODI, ¿qué revisiones de seguridad debo hacer como docente?","Verificar integridad de piezas impresas y fijaciones, comprobar cableado sin conductores expuestos, revisar batería/alimentación, confirmar que ruedas/motores/servos se mueven sin obstrucciones, y probar los sensores antes de iniciar la actividad.",COODI-KB-BASE §25.1,
